iter	Passed	Remaining
0	2	217
1	3	179
2	5	176
3	7	171
4	9	173
5	11	184
6	14	191
7	17	201
8	19	195
9	21	190
10	23	187
11	25	184
12	27	183
13	29	181
14	31	179
15	33	175
16	35	173
17	37	170
18	39	168
19	41	166
20	43	163
21	45	162
22	47	159
23	49	157
24	51	155
25	53	153
26	55	150
27	58	150
28	61	151
29	64	149
30	66	148
31	69	146
32	70	143
33	73	142
34	75	140
35	78	138
36	80	137
37	83	135
38	85	133
39	87	131
40	90	129
41	90	125
42	92	122
43	94	120
44	96	117
45	98	115
46	100	113
47	102	110
48	104	109
49	106	106
50	108	104
51	110	102
52	113	100
53	115	98
54	116	95
55	118	93
56	120	91
57	122	88
58	124	86
59	126	84
60	128	82
61	129	79
62	131	77
63	134	75
64	136	73
65	138	71
66	140	69
67	142	66
68	144	64
69	146	62
70	148	60
71	150	58
72	152	56
73	154	54
74	156	52
75	158	50
76	160	48
77	162	45
78	164	43
79	167	41
80	169	39
81	171	37
82	173	35
83	175	33
84	176	31
85	178	29
86	181	27
87	183	24
88	185	22
89	187	20
90	189	18
91	191	16
92	193	14
93	195	12
94	196	10
95	198	8
96	200	6
97	202	4
98	204	2
99	206	0
