iter	Passed	Remaining
0	0	672
1	1	582
2	1	530
3	2	589
4	3	614
5	3	590
6	4	591
7	4	570
8	5	573
9	5	555
10	6	542
11	6	529
12	6	521
13	7	519
14	7	523
15	8	515
16	8	508
17	9	504
18	9	498
19	10	492
20	10	486
21	10	484
22	11	479
23	11	475
24	12	470
25	12	475
26	13	471
27	13	472
28	14	469
29	14	467
30	15	472
31	15	469
32	16	468
33	16	475
34	17	473
35	17	474
36	18	474
37	18	477
38	19	479
39	20	481
40	20	481
41	21	482
42	21	481
43	22	480
44	22	478
45	22	475
46	23	472
47	23	470
48	24	469
49	24	467
50	25	467
51	25	465
52	25	463
53	26	462
54	26	460
55	27	459
56	27	458
57	28	459
58	28	457
59	29	455
60	29	453
61	29	451
62	30	450
63	31	454
64	31	454
65	32	454
66	32	453
67	32	451
68	33	450
69	33	450
70	34	449
71	34	449
72	35	449
73	35	449
74	36	448
75	36	447
76	37	445
77	37	446
78	38	445
79	38	443
80	39	443
81	39	443
82	39	439
83	40	438
84	40	439
85	41	438
86	41	439
87	42	437
88	42	436
89	43	434
90	43	433
91	43	432
92	44	431
93	44	430
94	45	429
95	45	428
96	45	426
97	46	425
98	46	427
99	47	426
100	47	425
101	48	429
102	49	430
103	50	431
104	50	432
105	51	433
106	52	434
107	52	434
108	53	433
109	53	432
110	53	432
111	54	430
112	54	429
113	55	429
114	55	428
115	56	427
116	56	425
117	56	424
118	57	423
119	57	422
120	58	421
121	58	419
122	58	418
123	59	418
124	59	416
125	59	415
126	60	414
127	60	413
128	61	413
129	61	412
130	61	411
131	62	410
132	62	409
133	63	409
134	63	409
135	64	408
136	65	409
137	65	408
138	65	407
139	66	406
140	66	405
141	67	405
142	67	404
143	68	404
144	68	404
145	68	403
146	69	402
147	69	401
148	70	401
149	70	400
150	71	399
151	71	399
152	72	398
153	72	397
154	72	396
155	73	395
156	73	396
157	74	395
158	74	394
159	75	393
160	75	392
161	75	391
162	76	390
163	76	389
164	76	388
165	77	387
166	77	387
167	78	388
168	79	388
169	79	388
170	79	387
171	80	388
172	81	387
173	81	387
174	82	387
175	82	386
176	82	385
177	83	384
178	83	384
179	84	384
180	84	383
181	85	383
182	85	382
183	86	382
184	86	382
185	87	381
186	87	381
187	88	380
188	88	380
189	89	379
190	89	380
191	90	379
192	90	379
193	91	379
194	91	378
195	92	378
196	92	378
197	93	378
198	94	378
199	94	378
200	95	378
201	95	377
202	96	377
203	96	376
204	96	375
205	97	375
206	97	374
207	98	374
208	98	373
209	99	373
210	99	372
211	100	372
212	100	371
213	101	371
214	101	371
215	102	370
216	102	371
217	103	371
218	103	370
219	104	370
220	104	369
221	105	369
222	105	368
223	106	368
224	106	367
225	107	367
226	107	366
227	108	366
228	108	366
229	109	366
230	110	366
231	110	365
232	110	365
233	111	364
234	111	363
235	112	363
236	112	362
237	112	361
238	113	360
239	113	360
240	114	359
241	114	358
242	114	357
243	115	357
244	115	356
245	116	356
246	116	355
247	116	354
248	117	353
249	117	353
250	118	352
251	118	351
252	118	351
253	119	350
254	119	349
255	120	349
256	120	348
257	120	347
258	121	347
259	121	346
260	122	345
261	122	345
262	123	344
263	123	344
264	124	343
265	124	343
266	125	343
267	125	342
268	125	342
269	126	341
270	126	341
271	127	340
272	127	340
273	128	339
274	128	339
275	129	338
276	129	337
277	129	337
278	130	336
279	130	336
280	131	335
281	131	334
282	132	334
283	132	333
284	132	333
285	133	332
286	133	332
287	134	331
288	134	331
289	134	330
290	135	329
291	135	329
292	136	328
293	136	327
294	136	327
295	137	326
296	137	326
